axis,estimator,axis_min,axis_max,corr_axis_abs_error,corr_axis_ess_norm,mean_abs_error_at_axis_min,mean_abs_error_at_axis_max,median_abs_error_at_axis_min,median_abs_error_at_axis_max,mean_ess_norm_at_axis_min,mean_ess_norm_at_axis_max,median_ess_norm_at_axis_min,median_ess_norm_at_axis_max,n_pairs,mean_delta_abs_error_low_to_high,mean_delta_ess_norm_low_to_high,frac_error_increases_low_to_high,frac_ess_increases_low_to_high
reward_mean_scale,dm_tabular,0.7,1.3,0.1762870696659709,-1.792599844413903e-18,0.10398674109654482,0.1425955632574807,0.07353147213636549,0.11492158788596918,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.0386088221609359,0.0,1.0,0.0
reward_mean_scale,dr,0.7,1.3,0.19573545029114986,-1.792599844413903e-18,0.12782448156617346,0.18904392335104858,0.08415168697778654,0.13700769986151995,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.061219441784875116,0.0,1.0,0.0
reward_mean_scale,dr_oracle,0.7,1.3,0.17372513992122754,-1.792599844413903e-18,0.10953151279523346,0.15417701272918446,0.07395715350717016,0.11659637492229916,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.044645499933951005,0.0,1.0,0.0
reward_mean_scale,fqe_linear,0.7,1.3,0.20190091419981157,-1.792599844413903e-18,0.09712892244824105,0.1387035266366756,0.07449980960761851,0.10731035783882818,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.04157460418843455,0.0,1.0,0.0
reward_mean_scale,fqe_tabular,0.7,1.3,0.19473523250657332,-1.792599844413903e-18,0.0983569963382139,0.13892248648455277,0.07511764276643682,0.11514203698503966,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.04056549014633887,0.0,1.0,0.0
reward_mean_scale,is_pdis,0.7,1.3,0.19420142272297805,-1.792599844413903e-18,0.12148533577691124,0.18182636924255172,0.0830519579059125,0.12922126887807128,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.06034103346564047,0.0,1.0,0.0
reward_mean_scale,is_trajectory,0.7,1.3,0.1716853364607734,-1.792599844413903e-18,0.14097257225276005,0.2021897829173584,0.10107953216021065,0.15439756515020975,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.06121721066459833,0.0,0.96875,0.0
reward_mean_scale,mrdr,0.7,1.3,0.21502014010041262,-1.792599844413903e-18,0.12183594838567231,0.18067732051303914,0.08589029117549256,0.1407203381927689,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.05884137212736684,0.0,1.0,0.0
reward_mean_scale,wis_pdis,0.7,1.3,0.21488094277947659,-1.792599844413903e-18,0.1181721410723572,0.176118600430078,0.08300296891592074,0.13524439669445548,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.0579464593577208,0.0,1.0,0.0
reward_mean_scale,wis_trajectory,0.7,1.3,0.19967385453515765,-1.792599844413903e-18,0.1372774108019806,0.1964344072762455,0.10391203593471177,0.15617368089589645,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.059156996474264895,0.0,1.0,0.0
reward_std,dm_tabular,0.1,0.5,0.31850691679580706,-4.481499611034757e-19,0.08841287967836033,0.15816942467566522,0.06836300262920525,0.12615046139275732,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.06975654499730491,0.0,1.0,0.0
reward_std,dr,0.1,0.5,0.1609003055608195,-4.481499611034757e-19,0.13327211027041175,0.1835962946468103,0.09910786782277417,0.12330141685848771,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.050324184376398545,0.0,0.96875,0.0
reward_std,dr_oracle,0.1,0.5,0.21965620683650505,-4.481499611034757e-19,0.1036296167142686,0.16007890881014933,0.0772576581935781,0.11444543408203073,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.05644929209588073,0.0,0.96875,0.0
reward_std,fqe_linear,0.1,0.5,0.2511123541362611,-4.481499611034757e-19,0.09206221399620292,0.14377023508871373,0.07433106950391204,0.11413030247355682,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.0517080210925108,0.0,1.0,0.0
