n,mean_ess_norm,mean_abs_error,mean_squared_error,diagnostic,estimator,ci_method,ess_bin_low,ess_bin_high,cross_estimator_abs_error_spread,cross_estimator_mse_spread,env_name,coverage_rate,mean_width,median_width,mean_error,mean_half_width,coverage_gap,bias_to_half_width_ratio
212,0.1695038909130697,0.19796967394637716,0.0815397253481761,ess,IS-PDIS,,0.0742,0.208,0.08756613117807523,0.06268931963100643,,,,,,,,
200,0.27061627514576175,0.23328189096123933,0.09102628257627236,ess,IS-PDIS,,0.208,0.323,0.09860164181259859,0.05884674391576207,,,,,,,,
204,0.5797012213575468,0.09191674083267412,0.014985729416041635,ess,IS-PDIS,,0.323,0.811,0.03593222012053418,0.013614762191822755,,,,,,,,
204,0.8286200799100332,0.11071473886822476,0.018820604102557842,ess,IS-PDIS,,0.811,0.847,0.015400284100617959,0.005633331993187801,,,,,,,,
204,0.8651233838724639,0.12418050020638158,0.028815277430702717,ess,IS-PDIS,,0.847,0.905,0.028311875650149865,0.009545313806510022,,,,,,,,
212,0.1695038909130697,0.14589708886888753,0.04049654425589084,ess,DR,,0.0742,0.208,0.08756613117807523,0.06268931963100643,,,,,,,,
200,0.27061627514576175,0.21471071107036838,0.07219124771240232,ess,DR,,0.208,0.323,0.09860164181259859,0.05884674391576207,,,,,,,,
204,0.5797012213575468,0.09514467020673396,0.016972595055270056,ess,DR,,0.323,0.811,0.03593222012053418,0.013614762191822755,,,,,,,,
204,0.8286200799100332,0.0953144547676068,0.014222851250069238,ess,DR,,0.811,0.847,0.015400284100617959,0.005633331993187801,,,,,,,,
204,0.8651233838724639,0.10927832607577759,0.026090912723203585,ess,DR,,0.847,0.905,0.028311875650149865,0.009545313806510022,,,,,,,,
212,0.1695038909130697,0.11129151652759332,0.01885040571716968,ess,DM,,0.0742,0.208,0.08756613117807523,0.06268931963100643,,,,,,,,
200,0.27061627514576175,0.1636002818485106,0.04447171009199116,ess,DM,,0.208,0.323,0.09860164181259859,0.05884674391576207,,,,,,,,
204,0.5797012213575468,0.1278489609532083,0.02860049160786439,ess,DM,,0.323,0.811,0.03593222012053418,0.013614762191822755,,,,,,,,
204,0.8286200799100332,0.10364716930908777,0.01985618324325704,ess,DM,,0.811,0.847,0.015400284100617959,0.005633331993187801,,,,,,,,
204,0.8651233838724639,0.11132878128529793,0.024848011376909538,ess,DM,,0.847,0.905,0.028311875650149865,0.009545313806510022,,,,,,,,
212,0.1695038909130697,0.11040354276830193,0.02026010376527259,ess,FQE,,0.0742,0.208,0.08756613117807523,0.06268931963100643,,,,,,,,
200,0.27061627514576175,0.13468024914864074,0.03217953866051029,ess,FQE,,0.208,0.323,0.09860164181259859,0.05884674391576207,,,,,,,,
204,0.5797012213575468,0.10263981451469412,0.01885772523077119,ess,FQE,,0.323,0.811,0.03593222012053418,0.013614762191822755,,,,,,,,
204,0.8286200799100332,0.10489063589109,0.017149112968467568,ess,FQE,,0.811,0.847,0.015400284100617959,0.005633331993187801,,,,,,,,
204,0.8651233838724639,0.13759020172592745,0.03439332518341956,ess,FQE,,0.847,0.905,0.028311875650149865,0.009545313806510022,,,,,,,,
1024,,0.12329115217701278,,ci,DM,analytic,,,0.03373962796727317,0.0005859374999999112,chain_bandit,,,,-0.022213499313044942,,,
1024,,0.12329115217701278,,ci,DM,bootstrap,,,0.03373962796727317,0.0478515625,chain_bandit,0.880859375,0.4572821638796996,0.47530394811290894,-0.022213499313044942,0.2286410819398498,-0.06914062499999996,0.09715445327926152
1024,,0.13185426276220896,,ci,DR,analytic,,,0.03373962796727317,0.0005859374999999112,chain_bandit,0.943359375,0.6287297404845096,0.5883301499850453,-0.014933597992278006,0.3143648702422548,-0.006640624999999956,0.04750402925355472
1024,,0.13185426276220896,,ci,DR,bootstrap,,,0.03373962796727317,0.0478515625,chain_bandit,0.8974609375,0.580298726018774,0.5403812968663153,-0.014933597992278006,0.290149363009387,-0.052539062499999956,0.051468656823468094
1024,,0.11791622454245831,,ci,FQE,analytic,,,0.03373962796727317,0.0005859374999999112,chain_bandit,,,,-0.007094723696427323,,,
1024,,0.11791622454245831,,ci,FQE,bootstrap,,,0.03373962796727317,0.0478515625,chain_bandit,0.92578125,0.5262439863504561,0.5318943968600605,-0.007094723696427323,0.26312199317522805,-0.024218749999999956,0.026963628584641113
1024,,0.1516558525097315,,ci,IS-PDIS,analytic,,,0.03373962796727317,0.0005859374999999112,chain_bandit,0.9560546875,0.7347448684648249,0.6654553730568455,-0.011105299573904366,0.3673724342324124,0.006054687500000044,0.03022899526228136
1024,,0.1516558525097315,,ci,IS-PDIS,bootstrap,,,0.03373962796727317,0.0478515625,chain_bandit,0.9287109375,0.6813915407749187,0.6247456697045002,-0.011105299573904366,0.34069577038745935,-0.021289062499999956,0.03259594200795262
