env_name,env_id,dataset_seed,policy_seed,seed,alpha,beta,K,chain_variant,transition_strength,reward_mean_scale,reward_gap,reward_std,v_true,ess_is,ess_is_over_k,estimate,error,abs_error,squared_error,ci_low,ci_high,ci_width,covered,ess_norm,estimator_key,estimator,ci_method
chain_bandit,chain_bandit_transitional_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.100_beta0.000_seed4128479723,1748603305,2613614962,0,0.2,0.0,100,transitional,0.3,0.7,0.3,0.1,-0.014283966621160507,85.7062087849677,0.857062087849677,0.014591320992773105,0.028875287613933612,0.028875287613933612,0.0008337822347873878,,,,,0.857062087849677,dm_tabular,DM,analytic
chain_bandit,chain_bandit_transitional_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.100_beta0.000_seed4128479723,693132809,2613614962,0,0.2,0.0,100,transitional,0.3,0.7,0.3,0.1,-0.014283966621160507,79.90880673063147,0.7990880673063147,0.09237099829275384,0.10665496491391435,0.10665496491391435,0.011375281540788302,,,,,0.7990880673063147,dm_tabular,DM,analytic
chain_bandit,chain_bandit_transitional_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.100_beta0.000_seed4128479723,2566870327,2613614962,0,0.2,0.0,100,transitional,0.3,0.7,0.3,0.1,-0.014283966621160507,81.01634168930565,0.8101634168930565,0.03850576804015414,0.05278973466131465,0.05278973466131465,0.002786756085612005,,,,,0.8101634168930565,dm_tabular,DM,analytic
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed4128479723,2070496006,2613614962,0,0.2,0.0,100,reward_only,0.3,0.7,0.3,0.5,-0.020025334776686915,82.30105665841324,0.8230105665841324,-0.07746635532302056,-0.05744102054633364,0.05744102054633364,0.0032994708414043235,,,,,0.8230105665841324,dm_tabular,DM,analytic
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed4128479723,3652782903,2613614962,0,0.2,0.0,100,reward_only,0.3,0.7,0.3,0.5,-0.020025334776686915,84.20833994585689,0.8420833994585689,-0.014274168556245317,0.0057511662204415975,0.0057511662204415975,3.307591289514849e-05,,,,,0.8420833994585689,dm_tabular,DM,analytic
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed4128479723,1860358638,2613614962,0,0.2,0.0,100,reward_only,0.3,0.7,0.3,0.5,-0.020025334776686915,78.94647172719453,0.7894647172719453,-0.3447732862991296,-0.32474795152244273,0.32474795152244273,0.10546123201802282,,,,,0.7894647172719453,dm_tabular,DM,analytic
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed4128479723,2825440625,2613614962,0,0.2,0.0,100,reward_only,0.3,0.7,0.3,0.5,-0.020025334776686915,81.46993163480387,0.8146993163480387,0.055037460621021106,0.07506279539770802,0.07506279539770802,0.005634423252918176,,,,,0.8146993163480387,dm_tabular,DM,analytic
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed4128479723,2941916378,2613614962,0,0.2,0.0,100,reward_only,0.3,0.7,0.3,0.5,-0.020025334776686915,84.66757976432378,0.8466757976432377,0.021679916619497155,0.04170525139618407,0.04170525139618407,0.0017393279940189133,,,,,0.8466757976432377,dm_tabular,DM,analytic
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed4128479723,693132809,2613614962,0,0.2,0.0,100,reward_only,0.3,0.7,0.3,0.5,-0.020025334776686915,79.95243038337375,0.7995243038337375,0.06105199698578015,0.08107733176246706,0.08107733176246706,0.006573533725721151,,,,,0.7995243038337375,dm_tabular,DM,analytic
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed4128479723,2566870327,2613614962,0,0.2,0.0,100,reward_only,0.3,0.7,0.3,0.5,-0.020025334776686915,81.78170263843545,0.8178170263843545,-0.06872429721005771,-0.048698962433370796,0.048698962433370796,0.00237158894208686,,,,,0.8178170263843545,dm_tabular,DM,analytic
