alpha,beta,K,chain_variant,transition_strength,reward_mean_scale,reward_gap,reward_std,n,mean_abs_error,std_abs_error,median_abs_error,mean_abs_error_ci_low,mean_abs_error_ci_high,estimator,mean_ess_is,median_ess_is,mean_ess_norm
0.2,0.0,100,reward_only,0.3,0.7,0.3,0.1,16,0.06337440689837509,0.04524660667478096,0.05213635657586292,0.041203977022070015,0.08554483677468017,dm_tabular,83.69509011806768,83.95335452896296,0.8369509011806767
0.2,0.0,100,reward_only,0.3,0.7,0.3,0.5,16,0.09999777813430154,0.08658260297630083,0.07001847816748173,0.05757308225398151,0.14242247401462158,dm_tabular,83.69509011806768,83.95335452896296,0.8369509011806767
0.2,0.0,100,reward_only,0.3,1.3,0.3,0.1,16,0.11758005158262975,0.07838746839391138,0.09268752663967997,0.07917089785979523,0.15598920530546428,dm_tabular,83.69509011806768,83.95335452896296,0.8369509011806767
0.2,0.0,100,reward_only,0.3,1.3,0.3,0.5,16,0.1356399669017482,0.11108138806155679,0.10246596499915832,0.081211086913406,0.1900688468900904,dm_tabular,83.69509011806768,83.95335452896296,0.8369509011806767
0.2,0.0,100,reward_only,0.8,0.7,0.3,0.1,16,0.06337440689837509,0.04524660667478096,0.05213635657586292,0.041203977022070015,0.08554483677468017,dm_tabular,83.69509011806768,83.95335452896296,0.8369509011806767
0.2,0.0,100,reward_only,0.8,0.7,0.3,0.5,16,0.09999777813430154,0.08658260297630083,0.07001847816748173,0.05757308225398151,0.14242247401462158,dm_tabular,83.69509011806768,83.95335452896296,0.8369509011806767
0.2,0.0,100,reward_only,0.8,1.3,0.3,0.1,16,0.11758005158262975,0.07838746839391139,0.09268752663967997,0.07917089785979523,0.15598920530546428,dm_tabular,83.69509011806768,83.95335452896296,0.8369509011806767
0.2,0.0,100,reward_only,0.8,1.3,0.3,0.5,16,0.1356399669017482,0.11108138806155678,0.10246596499915832,0.081211086913406,0.1900688468900904,dm_tabular,83.69509011806768,83.95335452896296,0.8369509011806767
0.2,0.0,100,transitional,0.3,0.7,0.3,0.1,16,0.05867558745512173,0.035874862081826525,0.05993624341997029,0.04109722804744133,0.07625394686280214,dm_tabular,83.51054846813464,83.77131799831966,0.8351054846813465
0.2,0.0,100,transitional,0.3,0.7,0.3,0.5,16,0.09215007468145019,0.05850754783212465,0.08406943632127903,0.06348190303777049,0.12081824632512989,dm_tabular,83.51054846813464,83.77131799831966,0.8351054846813465
0.2,0.0,100,transitional,0.3,1.3,0.3,0.1,16,0.10672593704542294,0.06952402533069767,0.09955944789171231,0.07265979061831848,0.1407920834725274,dm_tabular,83.51054846813464,83.77131799831966,0.8351054846813465
0.2,0.0,100,transitional,0.3,1.3,0.3,0.5,16,0.12269344712376869,0.08109228951972508,0.11825277718413256,0.08295895540312967,0.1624279388444077,dm_tabular,83.51054846813464,83.77131799831966,0.8351054846813465
0.2,0.0,100,transitional,0.8,0.7,0.3,0.1,16,0.06265360237385327,0.05548439103614624,0.06388531563997983,0.035466750340107364,0.08984045440759918,dm_tabular,82.60309411789655,81.95193493342259,0.8260309411789655
0.2,0.0,100,transitional,0.8,0.7,0.3,0.5,16,0.07376410597016857,0.06805070427694654,0.05892256937380864,0.04041987359381831,0.10710833834651882,dm_tabular,82.60309411789655,81.95193493342259,0.8260309411789655
0.2,0.0,100,transitional,0.8,1.3,0.3,0.1,16,0.11959560416122032,0.10493823878525102,0.1133156219027252,0.06817681200618127,0.17101439631625936,dm_tabular,82.60309411789655,81.95193493342259,0.8260309411789655
0.2,0.0,100,transitional,0.8,1.3,0.3,0.5,16,0.12107439904599991,0.09675503991787376,0.10716101255290873,0.07366530065555796,0.16848349743644186,dm_tabular,82.60309411789655,81.95193493342259,0.8260309411789655
0.2,0.5,100,reward_only,0.3,0.7,0.3,0.1,16,0.05287798753459926,0.05579331470184206,0.03774741946327162,0.025539765686169377,0.08021620938302915,dm_tabular,83.99340526649915,84.09267040768918,0.8399340526649915
0.2,0.5,100,reward_only,0.3,0.7,0.3,0.5,16,0.12690759496958257,0.1367361265012358,0.08442986060610266,0.05990812413759883,0.1939070658015663,dm_tabular,83.99340526649915,84.09267040768918,0.8399340526649915
0.2,0.5,100,reward_only,0.3,1.3,0.3,0.1,16,0.09239376442897411,0.08812526384111426,0.07243641828430422,0.04921317861480565,0.13557435024314257,dm_tabular,83.99340526649915,84.09267040768918,0.8399340526649915
0.2,0.5,100,reward_only,0.3,1.3,0.3,0.5,16,0.15053773851753896,0.1603173281628685,0.11329759150902916,0.07198369119331116,0.22909178584176676,dm_tabular,83.99340526649915,84.09267040768918,0.8399340526649915
0.2,0.5,100,reward_only,0.8,0.7,0.3,0.1,16,0.05287798753459926,0.05579331470184206,0.03774741946327162,0.025539765686169377,0.08021620938302915,dm_tabular,83.99340526649915,84.09267040768918,0.8399340526649915
0.2,0.5,100,reward_only,0.8,0.7,0.3,0.5,16,0.12690759496958257,0.13673612650123576,0.08442986060610266,0.05990812413759884,0.1939070658015663,dm_tabular,83.99340526649915,84.09267040768918,0.8399340526649915
0.2,0.5,100,reward_only,0.8,1.3,0.3,0.1,16,0.09239376442897411,0.08812526384111424,0.07243641828430422,0.049213178614805654,0.13557435024314257,dm_tabular,83.99340526649915,84.09267040768918,0.8399340526649915
0.2,0.5,100,reward_only,0.8,1.3,0.3,0.5,16,0.15053773851753896,0.1603173281628685,0.11329759150902916,0.07198369119331116,0.22909178584176676,dm_tabular,83.99340526649915,84.09267040768918,0.8399340526649915
0.2,0.5,100,transitional,0.3,0.7,0.3,0.1,16,0.06458066377213147,0.059887324699878605,0.05226374206000346,0.035236413886576945,0.09392491365768599,dm_tabular,84.53609794110417,84.92007528329432,0.8453609794110417
0.2,0.5,100,transitional,0.3,0.7,0.3,0.5,16,0.14283352282887007,0.14337321569993977,0.09535724843064182,0.07258193804897643,0.2130851076087637,dm_tabular,84.53609794110417,84.92007528329432,0.8453609794110417
0.2,0.5,100,transitional,0.3,1.3,0.3,0.1,16,0.11167959278129724,0.09127572193915402,0.09510795969241184,0.06695531086538865,0.15640387469720585,dm_tabular,84.53609794110417,84.92007528329432,0.8453609794110417
0.2,0.5,100,transitional,0.3,1.3,0.3,0.5,16,0.17794294300705427,0.17209209985127943,0.11755484952595516,0.09361936357395964,0.2622665224401489,dm_tabular,84.53609794110417,84.92007528329432,0.8453609794110417
0.2,0.5,100,transitional,0.8,0.7,0.3,0.1,16,0.06327237775509788,0.04368665879079116,0.05669262833513991,0.04186630829638767,0.08467844721380809,dm_tabular,84.36916758027782,83.65109652615772,0.8436916758027783
0.2,0.5,100,transitional,0.8,0.7,0.3,0.5,16,0.1429753766335352,0.1304809893856787,0.0919603765482554,0.07904086666776437,0.20690988659930604,dm_tabular,84.36916758027782,83.65109652615772,0.8436916758027783
0.2,0.5,100,transitional,0.8,1.3,0.3,0.1,16,0.10306817693943263,0.06715361517767965,0.08387251383439581,0.07016351014445402,0.13597284373441124,dm_tabular,84.36916758027782,83.65109652615772,0.8436916758027783
0.2,0.5,100,transitional,0.8,1.3,0.3,0.5,16,0.17739859563859817,0.14531540111446176,0.13571756130132906,0.106195357492764,0.24860183378443235,dm_tabular,84.36916758027782,83.65109652615772,0.8436916758027783
0.6,0.0,100,reward_only,0.3,0.7,0.3,0.1,16,0.07135373267686672,0.06245655507224602,0.058966557033055166,0.04075058304185556,0.10195688231187788,dm_tabular,22.87174857031403,20.705190444466563,0.2287174857031403
0.6,0.0,100,reward_only,0.3,0.7,0.3,0.5,16,0.16737435476954857,0.12372261876254119,0.12188842249595744,0.1067513855576585,0.22799732398143863,dm_tabular,22.87174857031403,20.705190444466563,0.2287174857031403
0.6,0.0,100,reward_only,0.3,1.3,0.3,0.1,16,0.12457317696820525,0.10410904903596417,0.12277530182358982,0.07356068032440419,0.1755856736120063,dm_tabular,22.87174857031403,20.705190444466563,0.2287174857031403
0.6,0.0,100,reward_only,0.3,1.3,0.3,0.5,16,0.19627509018788628,0.1595031468826482,0.17846766914815654,0.11811998436018811,0.27443019601558444,dm_tabular,22.87174857031403,20.705190444466563,0.2287174857031403
0.6,0.0,100,reward_only,0.8,0.7,0.3,0.1,16,0.07135373267686672,0.06245655507224601,0.058966557033055166,0.04075058304185557,0.10195688231187787,dm_tabular,22.87174857031403,20.705190444466563,0.2287174857031403
0.6,0.0,100,reward_only,0.8,0.7,0.3,0.5,16,0.1673743547695486,0.12372261876254118,0.12188842249595744,0.10675138555765853,0.22799732398143865,dm_tabular,22.87174857031403,20.705190444466563,0.2287174857031403
0.6,0.0,100,reward_only,0.8,1.3,0.3,0.1,16,0.12457317696820525,0.10410904903596417,0.12277530182358982,0.07356068032440419,0.1755856736120063,dm_tabular,22.87174857031403,20.705190444466563,0.2287174857031403
0.6,0.0,100,reward_only,0.8,1.3,0.3,0.5,16,0.19627509018788628,0.15950314688264816,0.17846766914815654,0.11811998436018813,0.27443019601558444,dm_tabular,22.87174857031403,20.705190444466563,0.2287174857031403
0.6,0.0,100,transitional,0.3,0.7,0.3,0.1,16,0.07336977721110262,0.04863398701404414,0.058875629427348385,0.04953956146807382,0.09719999295413143,dm_tabular,24.48393158495334,23.809737570813134,0.2448393158495334
0.6,0.0,100,transitional,0.3,0.7,0.3,0.5,16,0.16038938907735592,0.1486139204179381,0.13282313684759275,0.08756990617224081,0.23320887198247103,dm_tabular,24.48393158495334,23.809737570813134,0.2448393158495334
0.6,0.0,100,transitional,0.3,1.3,0.3,0.1,16,0.1247800430014282,0.08214411211657113,0.1277440912736053,0.08453016767880328,0.16502991832405312,dm_tabular,24.483931584953336,23.809737570813134,0.2448393158495334
0.6,0.0,100,transitional,0.3,1.3,0.3,0.5,16,0.18956554369216563,0.16596173777022652,0.16837103407680842,0.10824578648183444,0.27088530090249685,dm_tabular,24.483931584953336,23.809737570813134,0.2448393158495334
0.6,0.0,100,transitional,0.8,0.7,0.3,0.1,16,0.058836050400909036,0.04643117693701167,0.03886271398001234,0.03608519176182162,0.08158690903999645,dm_tabular,24.027999553796025,23.46463354976249,0.24027999553796026
0.6,0.0,100,transitional,0.8,0.7,0.3,0.5,16,0.1495192603684584,0.12388160973460682,0.12551685549861857,0.0888183870117894,0.21022013372512738,dm_tabular,24.027999553796025,23.46463354976249,0.24027999553796026
0.6,0.0,100,transitional,0.8,1.3,0.3,0.1,16,0.09673947879764767,0.08554646868383492,0.06991348569308431,0.054822479391422665,0.13865647820387267,dm_tabular,24.027999553796025,23.46463354976249,0.24027999553796026
0.6,0.0,100,transitional,0.8,1.3,0.3,0.5,16,0.171232605262275,0.1335209015664385,0.1348793683116295,0.1058085656988907,0.2366566448256593,dm_tabular,24.027999553796025,23.46463354976249,0.24027999553796026
0.6,0.5,100,reward_only,0.3,0.7,0.3,0.1,16,0.07449711136554604,0.053175794618642254,0.05237893572499969,0.04844145079008663,0.10055277194100545,dm_tabular,25.807747120633543,27.71596732341153,0.2580774712063354
0.6,0.5,100,reward_only,0.3,0.7,0.3,0.5,16,0.1803537475571677,0.08065512393907225,0.1632404777848166,0.1408334630348687,0.2198740320794667,dm_tabular,25.807747120633543,27.71596732341153,0.2580774712063354
0.6,0.5,100,reward_only,0.3,1.3,0.3,0.1,16,0.1261470793703743,0.10053656700990762,0.08524392297414238,0.07688506675319513,0.1754090919875535,dm_tabular,25.807747120633543,27.71596732341153,0.2580774712063354
