estimator,n,mean_abs_error,std_abs_error,mean_abs_error_ci_low,mean_abs_error_ci_high,mean_squared_error,mean_squared_error_ci_low,mean_squared_error_ci_high,mean_bias,mean_bias_ci_low,mean_bias_ci_high,pearson_ess_abs_error,pearson_ci_low,pearson_ci_high,spearman_ess_abs_error,spearman_ci_low,spearman_ci_high
is_pdis,1024,0.1516558525097315,0.15543273991410375,0.14213577212691822,0.16117593289254475,0.04713524113547408,0.04004720388257785,0.05422327838837031,-0.011105299573904368,-0.0243919111267321,0.002181311978923366,-0.28454649558718925,-0.33452931468862784,-0.2321885764656594,-0.1879209812663605,-0.24778512129849375,-0.12675671843620176
dr_oracle,1024,0.13185426276220896,0.1285574312796607,0.12398026478554902,0.1397282607388689,0.0338964200845235,0.029748534889248595,0.03804430527979841,-0.014933597992278003,-0.0261784516720746,-0.003688744312481406,-0.2562110306524796,-0.30997399536857656,-0.20098331190229776,-0.19243379998255683,-0.25209118851359985,-0.1315364048064363
dm_tabular,1024,0.12329115217701278,0.10955905052171588,0.11658078363942005,0.13000152071460552,0.027192171895465356,0.023976418494854036,0.030407925296076676,-0.022213499313044942,-0.03222630054582035,-0.012200698080269539,-0.12065009990986103,-0.17850105280115441,-0.06321484782936133,-0.10571407932463427,-0.16403758823439413,-0.0466824765725836
fqe_linear,1024,0.11791622454245831,0.10300824870787532,0.11160708524314643,0.1242253638417702,0.02450457330117397,0.02170097812194747,0.02730816848040047,-0.00709472369642732,-0.01667741158448607,0.002487964191631429,-0.0213658170587508,-0.08330529494129765,0.03917690184156522,0.028186966994069983,-0.032915161049849394,0.0895219169582199
