estimator,estimator_key,mean_abs_error,mean_bias,spearman_ess_abs_error,spearman_ci_low,spearman_ci_high,bootstrap_coverage_rate,bootstrap_coverage_gap,bootstrap_mean_width,paper_claim_verdict,paper_claim_count,strength_label
DM,dm_tabular,0.12329115217701278,-0.022213499313044942,-0.10571407932463427,-0.16404837168586225,-0.047968415417907126,0.880859375,-0.06914062499999996,0.4572821638796996,inconclusive,3,watch
DR,dr_oracle,0.13185426276220896,-0.014933597992278001,-0.19243379998255683,-0.25298098475566155,-0.1310014276107703,0.8974609375,-0.052539062499999956,0.580298726018774,not_evaluated,0,unscored
FQE,fqe_linear,0.11791622454245831,-0.007094723696427322,0.028186966994069983,-0.033444042344311184,0.08961996701802032,0.92578125,-0.024218749999999956,0.5262439863504561,inconclusive,3,watch
IS-PDIS,is_pdis,0.1516558525097315,-0.01110529957390436,-0.1879209812663605,-0.24686927176961762,-0.12737479086127754,0.9287109375,-0.021289062499999956,0.6813915407749187,partially_supported,1,mixed
