claim_id,estimator,statement,metric,value,ci_low,ci_high,threshold,verdict,confidence,aux_metric_ess_cv,aux_metric_alpha_fixed,aux_metric_ess_ratio,aux_metric_beta_fixed
C2_DM_WEAK_ESS_CORR,DM,ESS should be weak/non-diagnostic for non-IS estimator error.,"spearman(ESS_norm, abs_error)",-0.10571407932463427,-0.16403758823439413,-0.0466824765725836,|corr| <= 0.15 (primary effect-size threshold); CI near zero preferred,supported,high,,,,
C2_FQE_WEAK_ESS_CORR,FQE,ESS should be weak/non-diagnostic for non-IS estimator error.,"spearman(ESS_norm, abs_error)",0.028186966994069983,-0.032915161049849394,0.0895219169582199,|corr| <= 0.15 (primary effect-size threshold); CI near zero preferred,supported,high,,,,
C1_IS_ESS_INFORMATIVE,IS-PDIS,ESS should negatively correlate with IS error.,"spearman(ESS_norm, abs_error)",-0.1879209812663605,-0.24778512129849375,-0.12675671843620176,ci_high < 0 (strong: < -0.2),partially_supported,high,,,,
C4_DM_ESS_SHIFT_ERROR_STABLE,DM,"Across alpha at fixed beta, ESS may vary strongly while error remains comparatively stable.",error_range_over_alpha / mean_abs_error,0.22672095099406236,,,"ESS_ratio >= 3.0 and rel_error_range <= 0.35 (strong: ratio >= 5.0, rel <= 0.25)",partially_supported,medium,,,3.7238403398736537,0.0
C4_FQE_ESS_SHIFT_ERROR_STABLE,FQE,"Across alpha at fixed beta, ESS may vary strongly while error remains comparatively stable.",error_range_over_alpha / mean_abs_error,0.09500852889589878,,,"ESS_ratio >= 3.0 and rel_error_range <= 0.35 (strong: ratio >= 5.0, rel <= 0.25)",partially_supported,medium,,,3.7238403398736537,0.0
C3_DM_SAME_ESS_DIFF_ERROR,DM,"At fixed alpha (similar ESS), error can differ strongly across beta.",error_range_over_beta / mean_abs_error,0.056144004381522984,,,ESS_CV <= 0.12 and rel_error_range >= 0.4 (strong >= 0.75),inconclusive,medium,0.09265005623178005,0.6,,
C3_FQE_SAME_ESS_DIFF_ERROR,FQE,"At fixed alpha (similar ESS), error can differ strongly across beta.",error_range_over_beta / mean_abs_error,0.044481661486366474,,,ESS_CV <= 0.12 and rel_error_range >= 0.4 (strong >= 0.75),inconclusive,medium,0.09265005623178005,0.6,,
