env_name,env_id,policy_seed,alpha,beta,K,transition_strength,reward_mean_scale,reward_gap,reward_std,chain_variant,n,v_true,mean_estimate,bias,mse,mean_abs_error,median_abs_error,median_ess_is,median_ess_norm,variance,bias_squared,abs_bias,estimator
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.100_beta0.000_seed3621255937,124701085,0.2,0.0,100,0.3,0.7,0.3,0.1,reward_only,8,0.34808258338977854,0.33657206438911474,-0.011510519000663803,0.005908562916924684,0.06494429485024185,0.0784615633479489,84.35683074845115,0.8435683074845115,0.005776070869260042,0.00013249204766464242,0.011510519000663803,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.100_beta0.000_seed3621255937,124701085,0.6,0.0,100,0.3,0.7,0.3,0.1,reward_only,8,0.34808258338977854,0.33331911386579843,-0.01476346952398009,0.011312829972465445,0.0832659431991209,0.06794800980405688,20.705190444466563,0.20705190444466565,0.011094869940079955,0.0002179600323854889,0.01476346952398009,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.100_beta0.000_seed4128479723,2613614962,0.2,0.0,100,0.3,0.7,0.3,0.1,reward_only,8,-0.020025334776686915,-0.013626258741138347,0.006399076035548568,0.005962671886733814,0.061804518946508326,0.0496320485423109,82.04137964842434,0.8204137964842435,0.0059217237126250825,4.094817410873197e-05,0.006399076035548568,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.100_beta0.000_seed4128479723,2613614962,0.6,0.0,100,0.3,0.7,0.3,0.1,reward_only,8,-0.020025334776686915,-0.03195964906862996,-0.011934314291943048,0.006183920245426507,0.059441522154612535,0.04545347683430352,21.459882365645957,0.21459882365645958,0.0060414923878076305,0.00014242785761887607,0.011934314291943048,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.100_beta0.500_seed1979834648,1203747748,0.2,0.5,100,0.3,0.7,0.3,0.1,reward_only,8,-0.32812446357495817,-0.3490451857680323,-0.020920722193074136,0.0058090963529749545,0.05660950404182428,0.0381075876370314,85.91903754585624,0.8591903754585624,0.00537141973589517,0.0004376766170797847,0.020920722193074136,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.100_beta0.500_seed1979834648,1203747748,0.6,0.5,100,0.3,0.7,0.3,0.1,reward_only,8,-0.32812446357495817,-0.31995689830410146,0.008167565270856714,0.005660052084016482,0.06667943488490564,0.05154724463218213,32.9408049968021,0.32940804996802103,0.005593342961562777,6.67091224537047e-05,0.008167565270856714,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.100_beta0.500_seed585238748,2152014921,0.2,0.5,100,0.3,0.7,0.3,0.1,reward_only,8,-0.23164154398157435,-0.26265035279437354,-0.03100880881279917,0.005619742963603739,0.04914647102737424,0.03774741946327162,81.95074152079825,0.8195074152079824,0.004658196739615007,0.0009615462239887315,0.03100880881279917,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.100_beta0.500_seed585238748,2152014921,0.6,0.5,100,0.3,0.7,0.3,0.1,reward_only,8,-0.23164154398157435,-0.2783876411175541,-0.04674609713597974,0.010741459244587198,0.08231478784618643,0.05237893572499969,20.604907193123438,0.2060490719312344,0.008556261647140745,0.0021851975974464533,0.04674609713597974,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed3621255937,124701085,0.2,0.0,100,0.3,0.7,0.3,0.5,reward_only,8,0.34808258338977854,0.3621343481321579,0.01405176474237935,0.017888350363057522,0.11256322624157765,0.1193518342658467,84.35683074845115,0.8435683074845115,0.017690898270682348,0.0001974520923751754,0.01405176474237935,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed3621255937,124701085,0.6,0.0,100,0.3,0.7,0.3,0.5,reward_only,8,0.34808258338977854,0.30653344385817244,-0.04154913953160613,0.06269244706037369,0.20648841308572408,0.16168710065577133,20.705190444466563,0.20705190444466565,0.060966116064556805,0.0017263309958168755,0.04154913953160613,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed4128479723,2613614962,0.2,0.0,100,0.3,0.7,0.3,0.5,reward_only,8,-0.020025334776686915,-0.040314988375198285,-0.02028965359851137,0.01616678678457097,0.08743233002702543,0.06120759074179454,82.04137964842434,0.8204137964842435,0.015755116741423384,0.0004116700431475854,0.02028965359851137,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed4128479723,2613614962,0.6,0.0,100,0.3,0.7,0.3,0.5,reward_only,8,-0.020025334776686915,-0.06802262329097475,-0.04799728851428784,0.022037064196411316,0.12826029645337308,0.11792676837078381,21.459882365645957,0.21459882365645958,0.019733324491687534,0.0023037397047237875,0.04799728851428784,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.500_seed1979834648,1203747748,0.2,0.5,100,0.3,0.7,0.3,0.5,reward_only,8,-0.32812446357495817,-0.41697290100692463,-0.08884843743196646,0.03332267793420977,0.11778341029257598,0.08442986060610266,85.91903754585624,0.8591903754585624,0.02542863310010771,0.00789404483410206,0.08884843743196646,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.500_seed1979834648,1203747748,0.6,0.5,100,0.3,0.7,0.3,0.5,reward_only,8,-0.32812446357495817,-0.2982482868535834,0.029876176721374752,0.026357552964331586,0.15459201843652692,0.1632404777848166,32.9408049968021,0.32940804996802103,0.025464967028844772,0.0008925859354868146,0.029876176721374752,dm_tabular
