estimator,n,mean_abs_error,std_abs_error,mean_abs_error_ci_low,mean_abs_error_ci_high,mean_squared_error,mean_squared_error_ci_low,mean_squared_error_ci_high,mean_bias,mean_bias_ci_low,mean_bias_ci_high,pearson_ess_abs_error,pearson_ci_low,pearson_ci_high,spearman_ess_abs_error,spearman_ci_low,spearman_ci_high
is_pdis,9216,0.37974374081630824,1.623997590216902,0.3465877326100065,0.41289974902260995,2.7812873089576375,-0.13433707216096513,5.69691169007624,-0.019328482654753978,-0.05337668431480189,0.014719719005293928,-0.12802211180640818,-0.23351543468962654,-0.096327271505811,-0.4638456275622762,-0.4804372314446609,-0.4471798392196625
dr_oracle,9216,0.1452344943366365,0.7311687625070646,0.13030673974148474,0.16016224893178824,0.5556428089568963,-0.07369007035682906,1.1849756882706217,-0.010250855644366057,-0.02546884236408302,0.0049671310753509074,-0.09697201240059286,-0.23002605610086121,-0.07664992552706483,-0.3789606555045661,-0.39625461064600725,-0.3610649042783077
dm_tabular,9216,0.281648852374346,0.2970365588583911,0.2755844674008652,0.28771323734782683,0.1675472196966804,0.15990317422331407,0.17519126517004674,0.05108292810898053,0.04279090584255422,0.05937495037540685,-0.04224819106864491,-0.06172830610222342,-0.022375366115618092,-0.027666616774757614,-0.047796253641277896,-0.007834537903667274
fqe_linear,9216,0.6435753564363629,0.5248172992399956,0.632860533467884,0.6542901794048418,0.6895925505790864,0.665673775703083,0.7135113254550899,0.11164429775157553,0.09484327035067278,0.12844532515247828,0.009614899443727176,-0.010773016007809104,0.029722769362195905,0.013311042587926371,-0.007030261685311402,0.033875294286682185
