estimator,estimator_key,mean_abs_error,mean_bias,spearman_ess_abs_error,spearman_ci_low,spearman_ci_high,bootstrap_coverage_rate,bootstrap_coverage_gap,bootstrap_mean_width,paper_claim_verdict,paper_claim_count,strength_label
DM,dm_tabular,0.281648852374346,0.05108292810898053,-0.027666616774757614,-0.047796253641277896,-0.007834537903667274,0.22178819444444445,-0.7282118055555555,0.1921039870008485,supported,3,mixed
DR,dr_oracle,0.1452344943366365,-0.010250855644366057,-0.3789606555045661,-0.39625461064600725,-0.3610649042783077,0.9135199652777778,-0.036480034722222165,0.6017057135351329,not_evaluated,0,unscored
FQE,fqe_linear,0.6435753564363629,0.11164429775157553,0.013311042587926371,-0.007030261685311402,0.033875294286682185,0.011610243055555556,-0.9383897569444444,0.034890192892580316,supported,3,mixed
IS-PDIS,is_pdis,0.37974374081630824,-0.019328482654753978,-0.4638456275622762,-0.4804372314446609,-0.4471798392196625,0.9100477430555556,-0.039952256944444375,1.5825642557227044,supported,1,strong
