claim_id,estimator,statement,metric,value,ci_low,ci_high,threshold,verdict,confidence,aux_metric_ess_cv,aux_metric_alpha_fixed,aux_metric_ess_ratio,aux_metric_beta_fixed
C1_IS_ESS_INFORMATIVE,IS-PDIS,ESS should negatively correlate with IS error.,"spearman(ESS_norm, abs_error)",-0.4638456275622762,-0.4804372314446609,-0.4471798392196625,ci_high < 0 (strong: < -0.2),supported,high,,,,
C2_DM_WEAK_ESS_CORR,DM,ESS should be weak/non-diagnostic for non-IS estimator error.,"spearman(ESS_norm, abs_error)",-0.027666616774757614,-0.047796253641277896,-0.007834537903667274,|corr| <= 0.15 (primary effect-size threshold); CI near zero preferred,supported,high,,,,
C2_FQE_WEAK_ESS_CORR,FQE,ESS should be weak/non-diagnostic for non-IS estimator error.,"spearman(ESS_norm, abs_error)",0.013311042587926371,-0.007030261685311402,0.033875294286682185,|corr| <= 0.15 (primary effect-size threshold); CI near zero preferred,supported,high,,,,
C3_DM_SAME_ESS_DIFF_ERROR,DM,"At fixed alpha (similar ESS), error can differ strongly across beta.",error_range_over_beta / mean_abs_error,0.7724410909229709,,,ESS_CV <= 0.12 and rel_error_range >= 0.4 (strong >= 0.75),supported,medium,0.04583143451752606,0.7,,
C3_FQE_SAME_ESS_DIFF_ERROR,FQE,"At fixed alpha (similar ESS), error can differ strongly across beta.",error_range_over_beta / mean_abs_error,0.8693157914269383,,,ESS_CV <= 0.12 and rel_error_range >= 0.4 (strong >= 0.75),supported,medium,0.04583143451752606,0.7,,
C4_DM_ESS_SHIFT_ERROR_STABLE,DM,"Across alpha at fixed beta, ESS may vary strongly while error remains comparatively stable.",error_range_over_alpha / mean_abs_error,0.16494605497560935,,,"ESS_ratio >= 3.0 and rel_error_range <= 0.35 (strong: ratio >= 5.0, rel <= 0.25)",supported,medium,,,34.356925944803486,0.0
C4_FQE_ESS_SHIFT_ERROR_STABLE,FQE,"Across alpha at fixed beta, ESS may vary strongly while error remains comparatively stable.",error_range_over_alpha / mean_abs_error,0.017960266067835365,,,"ESS_ratio >= 3.0 and rel_error_range <= 0.35 (strong: ratio >= 5.0, rel <= 0.25)",supported,medium,,,34.356925944803486,0.0
