env_name,env_id,policy_seed,alpha,beta,K,transition_strength,reward_mean_scale,reward_gap,reward_std,chain_variant,n,v_true,mean_estimate,bias,mse,mean_abs_error,median_abs_error,median_ess_is,median_ess_norm,variance,bias_squared,abs_bias,estimator
random_mdp,randommdp_s80_a5_h12_b3_d10_beta0.00_seed121292028,592357078,0.1,0.0,100,0.5,1.0,0.5,0.5,transitional,12,0.05375452895849362,0.002383795393593921,-0.051370733564899705,0.007606834035129759,0.07794233151256938,0.07652006713185619,86.28254424493338,0.8628254424493338,0.004967881768133846,0.002638952266995913,0.051370733564899705,dm_tabular
random_mdp,randommdp_s80_a5_h12_b3_d10_beta0.00_seed121292028,592357078,0.1,0.0,500,0.5,1.0,0.5,0.5,transitional,12,0.05375452895849362,0.04590426036456851,-0.00785026859392512,0.0035235801777970064,0.050615690364251696,0.042512612416213756,434.9135448098834,0.8698270896197667,0.00346195346080024,6.162671699676708e-05,0.00785026859392512,dm_tabular
random_mdp,randommdp_s80_a5_h12_b3_d10_beta0.00_seed121292028,592357078,0.3,0.0,100,0.5,1.0,0.5,0.5,transitional,12,0.05375452895849362,-0.013000176036294235,-0.06675470499478786,0.007235515470782866,0.07252901515096079,0.0805460635133618,31.602616064254903,0.31602616064254907,0.0027793248318417115,0.004456190638941156,0.06675470499478786,dm_tabular
random_mdp,randommdp_s80_a5_h12_b3_d10_beta0.00_seed121292028,592357078,0.3,0.0,500,0.5,1.0,0.5,0.5,transitional,12,0.05375452895849362,0.032470633281449175,-0.02128389567704445,0.0014532414297011747,0.03147318853067411,0.023737424313244226,145.46006212637195,0.2909201242527439,0.0010002372145098632,0.0004530042151913114,0.02128389567704445,dm_tabular
random_mdp,randommdp_s80_a5_h12_b3_d10_beta0.00_seed121292028,592357078,0.5,0.0,100,0.5,1.0,0.5,0.5,transitional,12,0.05375452895849362,-0.03810743993183439,-0.09186196889032801,0.00954483114689477,0.09186196889032801,0.09078368465318874,11.960457117561171,0.11960457117561171,0.001106209818487178,0.008438621328407591,0.09186196889032801,dm_tabular
random_mdp,randommdp_s80_a5_h12_b3_d10_beta0.00_seed121292028,592357078,0.5,0.0,500,0.5,1.0,0.5,0.5,transitional,12,0.05375452895849362,0.0021436233101677013,-0.051610905648325926,0.009321711121601342,0.07467287999278029,0.07317704729962604,27.411626222973357,0.05482325244594671,0.00665802553976094,0.002663685581840401,0.051610905648325926,dm_tabular
random_mdp,randommdp_s80_a5_h12_b3_d10_beta0.00_seed121292028,592357078,0.7,0.0,100,0.5,1.0,0.5,0.5,transitional,12,0.05375452895849362,0.007887060656051867,-0.04586746830244176,0.007451577894475418,0.06994031459724075,0.04645332063651603,5.598749682726495,0.05598749682726495,0.005347753245999918,0.0021038246484754997,0.04586746830244176,dm_tabular
random_mdp,randommdp_s80_a5_h12_b3_d10_beta0.00_seed121292028,592357078,0.7,0.0,500,0.5,1.0,0.5,0.5,transitional,12,0.05375452895849362,-0.02052001853221284,-0.07427454749070646,0.008748033606322692,0.07515623508485471,0.08270875904209374,17.943351678052274,0.035886703356104555,0.0032313252013734827,0.005516708404949209,0.07427454749070646,dm_tabular
random_mdp,randommdp_s80_a5_h12_b3_d10_beta0.00_seed121292028,791635499,0.1,0.0,100,0.5,1.0,0.5,0.5,transitional,12,0.30863790216998205,0.22422251896961143,-0.08441538320037062,0.013844426526104148,0.10463699247995045,0.10147830817361858,89.225805973606,0.89225805973606,0.006718469605238733,0.0071259569208654144,0.08441538320037062,dm_tabular
random_mdp,randommdp_s80_a5_h12_b3_d10_beta0.00_seed121292028,791635499,0.1,0.0,500,0.5,1.0,0.5,0.5,transitional,12,0.30863790216998205,0.32513729703692523,0.0164993948669432,0.001121910427569377,0.029359166698988984,0.028376903303845347,442.59612424160446,0.8851922484832089,0.0008496803965940654,0.00027223003097531155,0.0164993948669432,dm_tabular
